"nameSpecie" "K1" "K2" "K3" "K4"
"hsa" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"ptr" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"pon" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"mcc" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"mmu" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"rno" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"aml" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"bta" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"ecb" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"mdo" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"gga" "Eukaryotes" "Animals" "Vertebrates" "Birds"
"acs" "Eukaryotes" "Animals" "Vertebrates" "Reptiles"
"xtr" "Eukaryotes" "Animals" "Vertebrates" "Amphibians"
"dre" "Eukaryotes" "Animals" "Vertebrates" "Fishes"
"cfa" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"mgp" "Eukaryotes" "Animals" "Vertebrates" "Birds"
"ssc" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"oaa" "Eukaryotes" "Animals" "Vertebrates" "Mammals"
"tgu" "Eukaryotes" "Animals" "Vertebrates" "Birds"
"xla" "Eukaryotes" "Animals" "Vertebrates" "Amphibians"
"bfo" "Eukaryotes" "Animals" "Lancelets" NA
"cin" "Eukaryotes" "Animals" "Ascidians" NA
"dpo" "Eukaryotes" "Animals" "Arthropods" "Insects"
"spu" "Eukaryotes" "Animals" "Echinoderms" NA
"dme" "Eukaryotes" "Animals" "Arthropods" "Insects"
"dan" "Eukaryotes" "Animals" "Arthropods" "Insects"
"der" "Eukaryotes" "Animals" "Arthropods" "Insects"
"dpe" "Eukaryotes" "Animals" "Arthropods" "Insects"
"dse" "Eukaryotes" "Animals" "Arthropods" "Insects"
"dwi" "Eukaryotes" "Animals" "Arthropods" "Insects"
