"nameSpecie" "K1" "K2" "K3" "K4"
"mja" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanocaldococcus"
"mvu" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanocaldococcus"
"mfs" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanocaldococcus"
"mae" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanococcus"
"mvn" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanococcus"
"mfe" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanocaldococcus"
"mmq" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanococcus"
"mmx" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanococcus"
"mmz" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanococcus"
"mmd" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanococcus"
"mok" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanothermococcus"
"mif" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanocaldococcus"
"mig" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanotorris"
"mmp" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanococcus"
"mvo" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanococcus"
"mac" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanosarcina"
"mba" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanosarcina"
"mma" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanosarcina"
"mbu" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanococcoides"
"mmh" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanohalophilus"
"mev" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanohalobium"
"mzh" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanosalsum"
"mtp" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanosaeta"
"mcj" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanosaeta"
"mhu" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanospirillum"
"mem" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanoculleus"
"mla" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanocorpusculum"
"mpi" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanoplanus"
"mbn" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanoregula"
"mpl" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanosphaerula"
"fpl" "Prokaryotes" "Archaea" "Euryarchaeota" "Ferroglobus"
"mpd" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanocella"
"mth" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanothermobacter"
"mmg" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanothermobacter"
"msi" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanobrevibacter"
"mel" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanobacterium"
"mew" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanobacterium"
"mst" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanosphaera"
"mru" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanobrevibacter"
"mfv" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanothermus"
"mka" "Prokaryotes" "Archaea" "Euryarchaeota" "Methanopyrus"
"afu" "Prokaryotes" "Archaea" "Euryarchaeota" "Archaeoglobus"
"apo" "Prokaryotes" "Archaea" "Euryarchaeota" "Archaeoglobus"
"ave" "Prokaryotes" "Archaea" "Euryarchaeota" "Archaeoglobus"
"hal" "Prokaryotes" "Archaea" "Euryarchaeota" "Halobacterium"
"hsl" "Prokaryotes" "Archaea" "Euryarchaeota" "Halobacterium"
"hmu" "Prokaryotes" "Archaea" "Euryarchaeota" "Halomicrobium"
"hma" "Prokaryotes" "Archaea" "Euryarchaeota" "Haloarcula"
"hhi" "Prokaryotes" "Archaea" "Euryarchaeota" "Haloarcula"
